"Investment Type ID","Investment Type","Quarter ID","Quarter_","Time ID","Investment (USD)"
1,"Cuentas entre Compañías",20163,"2016-T3",1470027600000,17576229.095458984
1,"Cuentas entre Compañías",20164,"2016-T4",1477976400000,916779785.15625
1,"Cuentas entre Compañías",20171,"2017-T1",1485928800000,5074706.077575684
1,"Cuentas entre Compañías",20172,"2017-T2",1493614800000,44989871.978759766
1,"Cuentas entre Compañías",20173,"2017-T3",1501563600000,66160095.21484375
1,"Cuentas entre Compañías",20174,"2017-T4",1509512400000,-11761510.848999023
1,"Cuentas entre Compañías",20181,"2018-T1",1517464800000,61072956.08520508
1,"Cuentas entre Compañías",20182,"2018-T2",1525150800000,61762577.056884766
1,"Cuentas entre Compañías",20183,"2018-T3",1533099600000,140378173.828125
1,"Cuentas entre Compañías",20184,"2018-T4",1541048400000,-173722625.73242188
1,"Cuentas entre Compañías",20191,"2019-T1",1549000800000,108578468.3227539
1,"Cuentas entre Compañías",20192,"2019-T2",1556686800000,78146461.4868164
1,"Cuentas entre Compañías",20193,"2019-T3",1564635600000,58646778.10668945
1,"Cuentas entre Compañías",20194,"2019-T4",1572584400000,60500556.94580078
1,"Cuentas entre Compañías",20201,"2020-T1",1580536800000,-201390914.9169922
1,"Cuentas entre Compañías",20202,"2020-T2",1588309200000,1580865844.7265625
1,"Cuentas entre Compañías",20203,"2020-T3",1596258000000,94311203.00292969
1,"Cuentas entre Compañías",20204,"2020-T4",1604206800000,12680843.353271484
1,"Cuentas entre Compañías",20211,"2021-T1",1612159200000,120291381.8359375
1,"Cuentas entre Compañías",20212,"2021-T2",1619845200000,56063575.744628906
1,"Cuentas entre Compañías",20213,"2021-T3",1627794000000,67670608.52050781
1,"Cuentas entre Compañías",20214,"2021-T4",1635742800000,169949798.58398438
1,"Cuentas entre Compañías",20221,"2022-T1",1643695200000,-13706041.33605957
1,"Cuentas entre Compañías",20222,"2022-T2",1651381200000,267361450.1953125
1,"Cuentas entre Compañías",20223,"2022-T3",1659330000000,15773602.485656738
1,"Cuentas entre Compañías",20224,"2022-T4",1667278800000,24797784.80529785
1,"Cuentas entre Compañías",20231,"2023-T1",1675231200000,135332534.79003906
1,"Cuentas entre Compañías",20232,"2023-T2",1682917200000,209501296.9970703
1,"Cuentas entre Compañías",20233,"2023-T3",1690866000000,-76709182.73925781
2,"Nuevas Inversiones",19991,"1999-T1",917848800000,-14452642.440795898
2,"Nuevas Inversiones",19992,"1999-T2",925534800000,58404476.165771484
2,"Nuevas Inversiones",19993,"1999-T3",933483600000,64315185.546875
2,"Nuevas Inversiones",19994,"1999-T4",941436000000,71506706.23779297
2,"Nuevas Inversiones",20001,"2000-T1",949384800000,154202590.9423828
2,"Nuevas Inversiones",20002,"2000-T2",957157200000,3570516113.28125
2,"Nuevas Inversiones",20003,"2000-T3",965106000000,96755065.91796875
2,"Nuevas Inversiones",20004,"2000-T4",973058400000,126073257.44628906
2,"Nuevas Inversiones",20011,"2001-T1",981007200000,17254789.352416992
2,"Nuevas Inversiones",20012,"2001-T2",988696800000,846830261.2304688
2,"Nuevas Inversiones",20013,"2001-T3",996642000000,14545157226.5625
2,"Nuevas Inversiones",20014,"2001-T4",1004594400000,59199104.30908203
2,"Nuevas Inversiones",20021,"2002-T1",1012543200000,1557651245.1171875
2,"Nuevas Inversiones",20022,"2002-T2",1020229200000,2338298828.125
2,"Nuevas Inversiones",20023,"2002-T3",1028178000000,103108589.17236328
2,"Nuevas Inversiones",20024,"2002-T4",1036130400000,1304198974.609375
2,"Nuevas Inversiones",20031,"2003-T1",1044079200000,138392288.2080078
2,"Nuevas Inversiones",20032,"2003-T2",1051765200000,645010131.8359375
2,"Nuevas Inversiones",20033,"2003-T3",1059714000000,-8647972.106933594
2,"Nuevas Inversiones",20034,"2003-T4",1067666400000,126750366.2109375
2,"Nuevas Inversiones",20041,"2004-T1",1075615200000,4433473632.8125
2,"Nuevas Inversiones",20042,"2004-T2",1083387600000,189916564.94140625
2,"Nuevas Inversiones",20043,"2004-T3",1091336400000,542962280.2734375
2,"Nuevas Inversiones",20044,"2004-T4",1099288800000,34662563.32397461
2,"Nuevas Inversiones",20051,"2005-T1",1107237600000,90813026.42822266
2,"Nuevas Inversiones",20052,"2005-T2",1114923600000,122921920.77636719
2,"Nuevas Inversiones",20053,"2005-T3",1122872400000,136991836.54785156
2,"Nuevas Inversiones",20054,"2005-T4",1130824800000,127830642.70019531
2,"Nuevas Inversiones",20061,"2006-T1",1138773600000,257908813.4765625
2,"Nuevas Inversiones",20062,"2006-T2",1146459600000,176264587.40234375
2,"Nuevas Inversiones",20063,"2006-T3",1154408400000,184925964.35546875
2,"Nuevas Inversiones",20064,"2006-T4",1162360800000,478671875
2,"Nuevas Inversiones",20071,"2007-T1",1170309600000,1010226989.7460938
2,"Nuevas Inversiones",20072,"2007-T2",1177995600000,120525321.96044922
2,"Nuevas Inversiones",20073,"2007-T3",1185944400000,531158569.3359375
2,"Nuevas Inversiones",20074,"2007-T4",1193896800000,822319091.796875
2,"Nuevas Inversiones",20081,"2008-T1",1201845600000,693456848.1445312
2,"Nuevas Inversiones",20082,"2008-T2",1209618000000,210396072.3876953
2,"Nuevas Inversiones",20083,"2008-T3",1217566800000,176625595.09277344
2,"Nuevas Inversiones",20084,"2008-T4",1225519200000,2234320800.78125
2,"Nuevas Inversiones",20091,"2009-T1",1233468000000,708755737.3046875
2,"Nuevas Inversiones",20092,"2009-T2",1241154000000,-409359405.5175781
2,"Nuevas Inversiones",20093,"2009-T3",1249102800000,112235641.47949219
2,"Nuevas Inversiones",20094,"2009-T4",1257055200000,349035614.0136719
2,"Nuevas Inversiones",20101,"2010-T1",1265004000000,270532440.1855469
2,"Nuevas Inversiones",20102,"2010-T2",1272690000000,135629455.56640625
2,"Nuevas Inversiones",20103,"2010-T3",1280638800000,130960769.65332031
2,"Nuevas Inversiones",20104,"2010-T4",1288587600000,151295227.05078125
2,"Nuevas Inversiones",20111,"2011-T1",1296540000000,-72827682.49511719
2,"Nuevas Inversiones",20112,"2011-T2",1304226000000,103830703.73535156
2,"Nuevas Inversiones",20113,"2011-T3",1312174800000,229158233.64257812
2,"Nuevas Inversiones",20114,"2011-T4",1320123600000,67217712.40234375
2,"Nuevas Inversiones",20121,"2012-T1",1328076000000,42838451.38549805
2,"Nuevas Inversiones",20122,"2012-T2",1335848400000,270171813.96484375
2,"Nuevas Inversiones",20123,"2012-T3",1343797200000,108281967.16308594
2,"Nuevas Inversiones",20124,"2012-T4",1351746000000,-3863356201.171875
2,"Nuevas Inversiones",20131,"2013-T1",1359698400000,-317362335.2050781
2,"Nuevas Inversiones",20132,"2013-T2",1367384400000,-1690265014.6484375
2,"Nuevas Inversiones",20133,"2013-T3",1375333200000,-883821838.3789062
2,"Nuevas Inversiones",20134,"2013-T4",1383282000000,-112833908.08105469
2,"Nuevas Inversiones",20141,"2014-T1",1391234400000,65727264.404296875
2,"Nuevas Inversiones",20142,"2014-T2",1398920400000,97204788.20800781
2,"Nuevas Inversiones",20143,"2014-T3",1406869200000,210669418.33496094
2,"Nuevas Inversiones",20144,"2014-T4",1414818000000,175043319.70214844
2,"Nuevas Inversiones",20151,"2015-T1",1422770400000,375217803.9550781
2,"Nuevas Inversiones",20152,"2015-T2",1430456400000,379802032.4707031
2,"Nuevas Inversiones",20153,"2015-T3",1438405200000,378729034.4238281
2,"Nuevas Inversiones",20154,"2015-T4",1446354000000,366898773.1933594
2,"Nuevas Inversiones",20161,"2016-T1",1454306400000,91626251.22070312
2,"Nuevas Inversiones",20162,"2016-T2",1462078800000,76849098.2055664
2,"Nuevas Inversiones",20163,"2016-T3",1470027600000,209893234.2529297
2,"Nuevas Inversiones",20164,"2016-T4",1477976400000,614735412.5976562
2,"Nuevas Inversiones",20171,"2017-T1",1485928800000,46529495.23925781
